"Date","BMRI.JK.Adjusted","JKSE.Adjusted"
2021-08-04,2286.26318359375,6159.03515625
2021-08-05,2374.57373046875,6205.4169921875
2021-08-06,2345.13696289062,6203.43115234375
2021-08-09,2276.45068359375,6127.4560546875
2021-08-10,2276.45068359375,6088.408203125
2021-08-12,2325.51196289062,6139.65185546875
2021-08-13,2354.94921875,6139.4921875
2021-08-16,2345.13696289062,6087.9130859375
2021-08-18,2374.57373046875,6118.14990234375
2021-08-19,2296.07568359375,5992.32177734375
2021-08-20,2315.69995117188,6030.77197265625
2021-08-23,2345.13696289062,6109.828125
2021-08-24,2286.26318359375,6089.4970703125
2021-08-25,2335.32446289062,6113.240234375
2021-08-26,2286.26318359375,6058.080078125
2021-08-27,2276.45068359375,6041.3662109375
2021-08-30,2335.32446289062,6144.90185546875
2021-08-31,2394.19848632812,6150.298828125
2021-09-01,2354.94921875,6090.93310546875
2021-09-02,2374.57373046875,6078.22900390625
2021-09-03,2404.0107421875,6126.9208984375
2021-09-06,2433.447265625,6126.93798828125
2021-09-07,2453.07202148438,6112.39990234375
2021-09-08,2453.07202148438,6026.02001953125
2021-09-09,2492.3212890625,6068.21923828125
2021-09-10,2433.447265625,6094.873046875
2021-09-13,2413.82299804688,6088.1572265625
2021-09-14,2394.19848632812,6129.09521484375
2021-09-15,2404.0107421875,6110.22900390625
2021-09-16,2413.82299804688,6109.94189453125
2021-09-17,2374.57373046875,6133.24609375
2021-09-20,2364.76147460938,6076.31494140625
2021-09-21,2345.13696289062,6060.7568359375
2021-09-22,2384.38598632812,6108.26513671875
2021-09-23,2384.38598632812,6142.7119140625
2021-09-24,2345.13696289062,6144.81494140625
2021-09-27,2315.69995117188,6122.4951171875
2021-09-28,2335.32446289062,6113.11181640625
2021-09-29,2354.94921875,6162.55419921875
2021-09-30,2413.82299804688,6286.94287109375
2021-10-01,2394.19848632812,6228.84521484375
2021-10-04,2541.38256835938,6342.68603515625
2021-10-05,2521.75805664062,6288.048828125
2021-10-06,2590.44409179688,6417.3232421875
2021-10-07,2629.69311523438,6416.39599609375
2021-10-08,2708.19165039062,6481.76904296875
2021-10-11,2708.19165039062,6459.69677734375
2021-10-12,2747.44067382812,6486.26708984375
2021-10-13,2786.68969726562,6536.90380859375
2021-10-14,2816.12670898438,6626.11376953125
2021-10-15,2806.314453125,6633.337890625
2021-10-18,2816.12670898438,6658.76806640625
2021-10-19,2825.93896484375,6655.998046875
2021-10-21,2816.12670898438,6632.97216796875
2021-10-22,2825.93896484375,6643.73779296875
2021-10-25,2796.501953125,6625.69677734375
2021-10-26,2816.12670898438,6656.93701171875
2021-10-27,2806.314453125,6602.208984375
2021-10-28,2757.25317382812,6524.076171875
2021-10-29,2816.12670898438,6591.34619140625
2021-11-01,2816.12670898438,6552.88916015625
2021-11-02,2757.25317382812,6493.27490234375
2021-11-03,2796.501953125,6552.1298828125
2021-11-04,2816.12670898438,6586.44287109375
2021-11-05,2786.68969726562,6581.78515625
2021-11-08,2747.44067382812,6632.296875
2021-11-09,2698.37939453125,6669.9248046875
2021-11-10,2806.314453125,6683.14501953125
2021-11-11,2835.75122070312,6691.341796875
2021-11-12,2786.68969726562,6651.05419921875
2021-11-15,2767.0654296875,6616.02880859375
2021-11-16,2835.75122070312,6651.20703125
2021-11-17,2835.75122070312,6675.80419921875
2021-11-18,2816.12670898438,6636.46923828125
2021-11-19,2845.5634765625,6720.26318359375
2021-11-22,2884.81274414062,6723.38623046875
2021-11-23,2806.314453125,6677.8759765625
2021-11-24,2806.314453125,6683.27685546875
2021-11-25,2884.81274414062,6699.34619140625
2021-11-26,2786.68969726562,6561.55322265625
2021-11-29,2816.12670898438,6608.2900390625
2021-11-30,2747.44067382812,6533.93212890625
2021-12-01,2776.87768554688,6507.6767578125
2021-12-02,2825.93896484375,6583.81982421875
2021-12-03,2806.314453125,6538.505859375
2021-12-06,2816.12670898438,6547.1162109375
2021-12-07,2865.18823242188,6602.56884765625
2021-12-08,2806.314453125,6603.7978515625
2021-12-09,2884.81274414062,6643.93212890625
2021-12-10,2825.93896484375,6652.921875
2021-12-13,2796.501953125,6662.87109375
2021-12-14,2816.12670898438,6615.63720703125
2021-12-15,2855.3759765625,6626.2568359375
2021-12-16,2845.5634765625,6594.7978515625
2021-12-17,2806.314453125,6601.93212890625
2021-12-20,2776.87768554688,6547.11181640625
2021-12-21,2806.314453125,6554.30908203125
2021-12-22,2767.0654296875,6529.5927734375
2021-12-23,2776.87768554688,6555.55078125
2021-12-24,2767.0654296875,6562.89990234375
2021-12-27,2747.44067382812,6575.44384765625
2021-12-28,2767.0654296875,6598.3427734375
2021-12-29,2786.68969726562,6600.6767578125
2021-12-30,2757.25317382812,6581.48193359375
2022-01-03,2767.0654296875,6665.30810546875
2022-01-04,2816.12670898438,6695.373046875
2022-01-05,2757.25317382812,6662.298828125
2022-01-06,2757.25317382812,6653.35107421875
2022-01-07,2767.0654296875,6701.31591796875
2022-01-10,2767.0654296875,6691.1240234375
2022-01-11,2767.0654296875,6647.97021484375
2022-01-12,2806.314453125,6647.06494140625
2022-01-13,2796.501953125,6658.35595703125
2022-01-14,2816.12670898438,6693.40087890625
2022-01-17,2825.93896484375,6645.0478515625
2022-01-18,2845.5634765625,6614.05908203125
2022-01-19,2757.25317382812,6591.98095703125
2022-01-20,2816.12670898438,6626.87109375
2022-01-21,2865.18823242188,6726.373046875
2022-01-24,2855.3759765625,6655.166015625
2022-01-25,2835.75122070312,6568.1728515625
2022-01-26,2933.8740234375,6600.81884765625
2022-01-27,2963.31127929688,6611.1611328125
2022-01-28,3002.56005859375,6645.51123046875
2022-01-31,2933.8740234375,6631.15087890625
2022-02-02,2933.8740234375,6707.65185546875
2022-02-03,2933.8740234375,6683.85107421875
2022-02-04,2933.8740234375,6731.39111328125
2022-02-07,2943.6865234375,6804.93701171875
2022-02-08,2992.74780273438,6789.52197265625
2022-02-09,3012.37280273438,6834.60595703125
2022-02-10,3031.9970703125,6823.64208984375
2022-02-11,3031.9970703125,6815.60693359375
2022-02-14,3061.43383789062,6734.48583984375
2022-02-15,3100.68310546875,6807.4970703125
2022-02-16,3081.05859375,6850.1982421875
2022-02-17,3081.05859375,6835.1171875
2022-02-18,3081.05859375,6892.81787109375
2022-02-21,3081.05859375,6902.96484375
2022-02-22,3090.87060546875,6861.994140625
